payment_id,unit_id,tenant_id,property_id,unit_type,lease_type,payment_method,payment_date,due_date,amount_due,amount_paid,late_fee,days_late,delinquent_flag,vacancy_flag,payment_flag,billed_flag,collected_flag,late_flag
PAY-03-00001,U-003-268,T-83097,PROP-003,1BR,Standard,ACH,2025-12-01,2025-12-01,1452.12,1452.12,0.0,0,0,0,1,1,1,0
PAY-03-00002,U-004-172,T-81893,PROP-004,2BR,Standard,Check,2025-12-01,2025-12-01,2008.01,2008.01,0.0,0,0,0,1,1,1,0
PAY-03-00003,U-004-272,T-98670,PROP-004,2BR,Standard,Online,,2025-12-01,1991.67,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00004,U-001-352,T-46387,PROP-001,1BR,Standard,ACH,2025-12-28,2025-12-01,1433.16,1433.16,110.0,30,1,0,1,1,1,1
PAY-03-00005,U-004-122,T-61899,PROP-004,2BR,Standard,ACH,2025-12-02,2025-12-01,2055.98,2055.98,0.0,1,0,0,1,1,1,0
PAY-03-00006,U-002-117,T-99201,PROP-002,2BR,Standard,Cash,,2025-12-01,2050.71,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00007,U-002-345,T-65612,PROP-002,3BR,Standard,Online,2025-12-02,2025-12-01,2532.02,2532.02,0.0,1,0,0,1,1,1,0
PAY-03-00008,U-001-373,T-40106,PROP-001,Studio,Standard,Check,2025-12-01,2025-12-01,1176.91,1176.91,0.0,0,0,0,1,1,1,0
PAY-03-00009,U-004-251,T-32842,PROP-004,2BR,Month-to-Month,Online,2025-12-01,2025-12-01,2067.39,2067.39,0.0,0,0,0,1,1,1,0
PAY-03-00010,U-002-269,T-77060,PROP-002,1BR,Standard,Online,2025-12-16,2025-12-01,1530.0,1530.0,80.0,15,0,0,1,1,1,1
PAY-03-00011,U-003-174,T-75905,PROP-003,1BR,Standard,ACH,2025-12-01,2025-12-01,1476.07,1476.07,0.0,0,0,0,1,1,1,0
PAY-03-00012,U-001-162,T-91893,PROP-001,Studio,Standard,Online,2025-12-04,2025-12-01,1212.77,1212.77,0.0,3,0,0,1,1,1,0
PAY-03-00013,U-002-323,T-83196,PROP-002,Studio,Month-to-Month,Check,2025-12-01,2025-12-01,1228.42,1228.42,0.0,0,0,0,1,1,1,0
PAY-03-00014,U-004-218,T-42441,PROP-004,1BR,Standard,ACH,2025-12-28,2025-12-01,1548.75,1548.75,110.0,30,1,0,1,1,1,1
PAY-03-00015,U-004-162,T-71742,PROP-004,Studio,Standard,ACH,2025-12-01,2025-12-01,1189.9,645.61,0.0,0,0,0,1,1,0,0
PAY-03-00016,U-001-284,T-82942,PROP-001,Studio,Month-to-Month,Check,2025-12-06,2025-12-01,1251.48,1251.48,0.0,5,0,0,1,1,1,0
PAY-03-00017,U-002-356,T-62731,PROP-002,Studio,Corporate,Online,2025-12-11,2025-12-01,1146.95,632.43,70.0,10,0,0,1,1,0,1
PAY-03-00018,U-002-291,T-27825,PROP-002,1BR,Standard,Cash,2025-12-01,2025-12-01,1574.46,1574.46,0.0,0,0,0,1,1,1,0
PAY-03-00019,U-004-207,T-95654,PROP-004,2BR,Standard,ACH,2025-12-02,2025-12-01,1992.06,1992.06,0.0,1,0,0,1,1,1,0
PAY-03-00020,U-004-291,T-73109,PROP-004,1BR,Corporate,ACH,2025-12-01,2025-12-01,1475.55,1475.55,0.0,0,0,0,1,1,1,0
PAY-03-00021,U-004-292,T-24688,PROP-004,2BR,Corporate,Online,2025-12-16,2025-12-01,1964.75,1964.75,80.0,15,0,0,1,1,1,1
PAY-03-00022,U-002-149,T-58542,PROP-002,3BR,Standard,Check,2025-12-04,2025-12-01,2528.73,2528.73,0.0,3,0,0,1,1,1,0
PAY-03-00023,U-003-257,T-76770,PROP-003,3BR,Standard,ACH,2025-12-11,2025-12-01,2620.89,2620.89,70.0,10,0,0,1,1,1,1
PAY-03-00024,U-004-135,T-67886,PROP-004,2BR,Corporate,ACH,2025-12-16,2025-12-01,2006.42,2006.42,80.0,15,0,0,1,1,1,1
PAY-03-00025,U-001-185,T-58630,PROP-001,2BR,Standard,ACH,2025-12-04,2025-12-01,1954.55,1144.14,0.0,3,0,0,1,1,0,0
PAY-03-00026,U-001-234,T-57302,PROP-001,Studio,Standard,Check,2025-12-01,2025-12-01,1161.33,1161.33,0.0,0,0,0,1,1,1,0
PAY-03-00027,U-001-189,T-88438,PROP-001,2BR,Standard,ACH,2025-12-03,2025-12-01,1955.04,1955.04,0.0,2,0,0,1,1,1,0
PAY-03-00028,U-002-141,T-89068,PROP-002,2BR,Standard,ACH,,2025-12-01,2067.61,0.0,0.0,0,0,1,0,1,0,0
PAY-03-00029,U-001-227,T-61428,PROP-001,2BR,Standard,Check,2025-12-01,2025-12-01,2027.59,2027.59,0.0,0,0,0,1,1,1,0
